date,ticker,price,score,signal,var5,rsi14,rvol
2026-09-24,ASML,1722.5,80,ACHAT,5.7,57.2,0.98
2026-09-24,TSLA,377.94,80,ACHAT,3.21,51.0,0.67
2026-09-24,SAF.PA,334.3,65,SURVEILLANCE,0.81,50.6,0.9
2026-09-24,TTE,91.89,65,SURVEILLANCE,0.33,59.2,0.97
2026-09-24,NVDA,224.58,55,SURVEILLANCE,2.39,45.8,0.59
2026-09-24,GOOGL,342.36,55,SURVEILLANCE,-1.43,50.1,0.89
2026-09-24,AAPL,335.92,55,SURVEILLANCE,-0.32,58.3,0.57
2026-09-24,SU,68.65,55,SURVEILLANCE,-1.21,53.2,0.81
2026-09-24,VLO,382.86,30,SURVEILLANCE,-7.19,55.6,0.99
2026-09-24,META,777.59,25,SURCHAUFFE,14.05,85.6,1.57
2026-09-24,MSFT,497.93,0,AUCUN SIGNAL,0.04,41.9,0.77
2026-09-24,AMZN,249.38,0,AUCUN SIGNAL,-0.72,39.3,0.95
2026-09-24,AIR.PA,194.38,0,AUCUN SIGNAL,-0.57,39.8,0.94
2026-09-24,SPXC,172.48,0,AUCUN SIGNAL,-4.02,26.0,0.88
2026-09-24,STDN,12.25,0,AUCUN SIGNAL,-1.92,30.3,0.31
